(intval, jump) 
0.2305319421 10
0.2332960569 11
0.2322777732 12
0.2318231823 13
0.2310802509 14
0.2319917706 15
0.2314006401 16
0.2316922869 17
0.2321081781 18
0.2313272263 19
0.2319005585 20
0.2309583339 21
0.2315331100 22
0.2328189341 23
0.2317720903 24
0.2308057472 25
0.2316219314 26
0.2315317002 27
0.2315744802 28
0.2312238613 29
0.2309265409 30
0.2309891204 31
0.2318324574 32
0.2316313071 33
0.2317647094 34
0.2314886951 35
0.2312034378 36
0.2308329932 37
0.2320030012 38
0.2313706404 39
0.2313224912 40
0.2312259275 41
0.2321838456 42
0.2314779651 43
0.2310898109 44
0.2319490535 45
0.2316892559 46
0.2315670050 47
0.2323687156 48
0.2315818317 49
