(intval, jump) 
0.2519763087 10
0.2528889253 11
0.2537526480 12
0.2517174794 13
0.2535737090 14
0.2534891584 15
0.2529536287 16
0.2530326562 17
0.2524441987 18
0.2537850276 19
0.2513035514 20
0.2521833136 21
0.2532093036 22
0.2528770664 23
0.2521701446 24
0.2534400107 25
0.2522304538 26
0.2530711761 27
0.2532242642 28
0.2521749712 29
0.2526613581 30
0.2531724140 31
0.2527875771 32
0.2531984259 33
0.2527899849 34
0.2530599278 35
0.2525555730 36
0.2529084740 37
0.2531473631 38
0.2532239729 39
0.2529885040 40
0.2532380067 41
0.2521760887 42
0.2522028504 43
0.2527449362 44
0.2530493453 45
0.2530905264 46
0.2531309560 47
0.2527927438 48
0.2530651024 49
