(intval, jump) 
0.2067162272 10
0.2101137386 11
0.2078147209 12
0.2076489700 13
0.2055941858 14
0.2082570162 15
0.2065656566 16
0.2075288411 17
0.2068742822 18
0.2083354534 19
0.2068812144 20
0.2072535825 21
0.2078199162 22
0.2082816977 23
0.2079110085 24
0.2083885055 25
0.2067575988 26
0.2080803522 27
0.2073479835 28
0.2072421528 29
0.2062663738 30
0.2073833190 31
0.2083591424 32
0.2076944437 33
0.2078321914 34
0.2072859387 35
0.2077415678 36
0.2082649706 37
0.2071776168 38
0.2078075554 39
0.2074539505 40
0.2081766713 41
0.2077778045 42
0.2077762594 43
0.2075876721 44
0.2080187817 45
0.2076101330 46
0.2080024839 47
0.2077871794 48
0.2077948441 49
